货物出口到香港包括九龙或澳门寸仓火险责任扩展条款,_FIRE_RISK_EXTENSION_CLAUSEFOR
大花非洲紫罗兰,_GRANDIFLORA
组织领域的审计,_ORGANIZATION_AREA_AUDIT
价格排列定价法,_PRICE_LINING
产品的可获得性,_PRODUCT_AVAILABILITY
哈尔滨工程大学,_HARBIN_ENGINEERING_UNIVERSITY
反应及前摄策略,_REACTIVE_AND_PROACTIVE
北京中医药大学,_BEIJING_UNIVERSITY_OF_CHINESE
哈尔滨理工大学,_HARBIN_UNIVERSITY_OF_SCIENCE
独立经营的个人,_SELFEMPLOYED_PERSON
成都中医药大学,_CHENGDU_UNIVERSITY_OF
郑州轻工业学院,_ZHENGZHOU_INSTITUTE_OF_LIGHT
目标或难度水平,_TARGET_OR_HURDLE_LEVEL
牡丹江师范学院,_MUDANJIANG_TEACHERS_COLLEGE
黑龙江省科学院,_HEILONGJIANG_ACADEMY_OF
海岸及近海工程,_HYDRAULIC_COASTAL_AND_OFFSHORE
西安外国语学院,_XIAN_FOREIGN_LANGUAGE
极易引起争论的,_EXPLOSIVE
恶意损害险条款,_MALICIOUS_DAMAGE_CLAUSES
批内允许次品费,_LOT_TOLERANCE_DEFECTIVE
经济与法学学会,_SOCIETY_TO_STUDY_ENVIRONMENTAL
功夫不负有心人,_EVERYTHING_COMES_TO_HIM_WHO
在期间在过程中,_IN_THE_COURSE_OF
屋漏又逢连阴雨,_MISFORTUNES_NEVER_COME_SINGLY
协会货物险条款,_INSTITUTE_CARGO_CLAUSES_BICCB
从长远来看最后,_IN_THE_LONG_RUN
了解知道的情况,_KNOW_ABOUT
成员取用运算子,_MEMEBER_ACCESS
符合达到够得上,_MEASURE_UP_TO
行政单位净资产,_NET_ASSETS_OF_GOVERNMENTAL
财政总预算会计,_PUBLIC_FINANCE_BUDGETARY
沈阳化工研究院,_SINOPEC_SHENYANG_RESEARCH
战略性撤退战略,_STRATEGIC_WITHDRAWAL_STRATEGY
俄亥俄州立大学,_OHIO_STATE_UNIVERSITY
巴黎第十一大学,_PARISSUD_UNIVERSITY
华盛顿州立大学,_WASHINGTON_STATE_UNIVERSITY
端对端身份验证,_ENDTOEND_AUTHENTICATION
仪器科学与技术,_INSTRUMENT_SCIENCE_AND
制冷及低温工程,_REFRIGERATION_AND_CRYOGENIC
电子科学与技术,_ELECTRONICS_SCIENCE_AND
控制科学与工程,_CONTROL_SCIENCE_AND
计算机应用技术,_COMPUTER_APPLIED_TECHNOLOGY
油气田储运工程,_OILGAS_STORAGE_AND
船舶与海洋工程,_NAVAL_ARCHITECTURE_AND_OCEAN
人机与环境工程,_MANMACHINE_AND_ENVIRONMENTAL
中西医结合医学,_CHINESE_AND_WESTERN
军队政治工作学,_SCIENCE_OF_MILITARY_POLITICAL
财政经济委员会,_FINANCE_AND_ECONOMIC_COMMITTEE
国家教育委员会,_STATE_EDUCATION_COMMISSION
中央党史研究室,_PARTY_HISTORY_RESEARCH_CENTRE
中国基督教协会,_CHINA_CHRISTIAN_COUNCIL
中国电影家协会,_CHINA_FILM_ASSOCIATION
中国音乐家协会,_CHINESE_MUSICIANS_ASSOCIATION
中华全国总工会,_ALLCHINA_FEDERATION_OF_TRADE
合并资产负债表,_CONSOLIDATED_BALANCE_SHEET
玻利维亚喇叭藤,_BOLIVANSIS
夏洛特阿马利亚,_CHARLOTTE_AAMALIE
先折算后调整法,_TRANSLATIONREMEASUREMENT
成本计算简单法,_SIMPLE_COSTING_METHOD
每年的一年一度,_YEARLY
危险的不安全的,_DANGEROUS
落在后面跟不上,_FALL_BEHIND
坚守住不被打败,_HOLD_ONE_OWN
全球青少年市场,_GLOBAL_TEENAGE_SEGMENT
成长性市场战略,_GROWTHMARKET_STRATEGY
高市场份额战略,_HIGHT_MARKET_SHARE
创意的产生生成,_IDEA_GENERATION
安提瓜和巴布达,_ANTIGUA_AND_BARBUDA
花叶非洲紫罗兰,_VARIEGATA
西伯利亚绵枣儿,_SIBIRICA
哈尔滨医科大学,_HARBIN_MEDICAL_UNIVERSITY
上海中医药大学,_SHANGHAI_UNIVERSITY_OF
哈尔滨师范大学,_HARBIN_NORMAL_UNIVERSITY
辅助性广告媒体,_SUPPLEMENTARY_MEDIA
内蒙古民族大学,_INNER_MONGOLIA_UNIVERSITY_FOR
长沙矿山研究院,_CHANGSHA_INSTITUTE_OF_MINERAL
北京外国语大学,_BEIJING_FOREIGN_STUDIES
复方碘口服溶液,_LIQUOR_IODINE_O_UGOLS_SOLUTION
批内允许破损率,_LOT_TOLERANCE_RATE
当地运输代理商,_LOCAL_FREIGHT_AGENT
把录在录像带上,_VIDEOTPE
第二炮兵战役学,_ARMED_SERVICE_OPERATION
抛掷海水冲击险,_JETTISON_ANDOR_WASHING_OVER
与成比例与相称,_IN_PROPORTION_TO
在黑暗中秘密地,_IN_THE_DARK
协会货物险条款,_INSTITUTE_CARGO_CLAUSES_AICCA
挡道的妨碍人的,_IN_THE_WAY
阻止使免于隐瞒,_KEEP_FROM
包括平舱和理舱,_FOB_STOWED_AND_TRIMMEDFO_BST
开列书写辩认出,_MAKE_OUT
异议与索赔条款,_DISCREPANCY_AND_CLAM_CLAUSE
使清新恢复精神,_REFRESH
例行公事日常的,_ROUTINE
事业单位净资产,_NET_ASSETS_FOR_NONPROFIT
石家庄铁道学院,_SHIJIAZHUANG_RAILWAY_INSTITUTE
中国农业科学院,_CHINESE_ACADEMY_OF_AGRICULTURE
黑龙江科技学院,_HEILONGJIANG_UNIVERSITY_OF
冲突和解决战略,_CONFLICT_AND_RESOLUTION
契约式进入模式,_CONTRACTUAL_ENTRY_MODES
中国艺术研究院,_CHINESE_FINE_ART_RESEARCH
上海外国语大学,_SHANGHAI_INTERNATIONAL_STUDIES
卡耐基梅隆大学,_CARNEGIE_MELLON_UNIVERSITY
松虫草叶荷包花,_SCABIOSAEFOLIA
差异化防御战略,_DIFFERENTIATED_DEFENDER
乔治华盛顿大学,_GEORGE_WASHINGTON_UNIVERSITY
客户端应用程序,_CLIENT_APPLICATION
斯特拉斯堡大学,_UNIVERSITY_OF_STRASBOURG
斯威本科技大学,_SWINBURNE_UNIVERSITY_OF
职业技术教育学,_VOCATIONAL_AND_TECHNICAL
体育人文社会学,_HUMANE_AND_SOCIOLOGICAL
精密仪器及机械,_PRECISION_INSTRUMENT_AND
纺织科学与工程,_TEXTILE_SCIENCE_AND
兵器科学与技术,_ARMAMENT_SCIENCE_AND
木材科学与技术,_WOOD_SCIENCE_AND_TECHNOLOGY
国家医药管理局,_STATE_PHARMACEUTICAL
国务院办事机构,_ADMINISTRATIVE_BODIES
国家黄金管理局,_STATE_GOLD_ADMINISTRATIVE
中国歌剧研究会,_CHINESE_OPERA_RESEARCH
中国美术家协会,_CHINESE_ARTISTS_ASSOCIATION
销货退回与折让,_SALES_RETURNS_AND_ALLOWANCES
退休基金资产美,_PENSION_PLAN_ASSETS
克里斯琴斯特德,_CHRISTIANSTED
一般购买力单位,_UNITS_OF_GENERAL_PURCHASING
子公司权益变动,_CHANGE_IN_OWNERSHIP_OF_A
副产品成本计算,_BYPRODUCT_COSTING
成本计算品种法,_CATEGORY_COSTING_METHOD
每秒百万条指令,_MIPS
持续时间，工期,_DURATION
确实毫无疑问地,_FOR_SURE
对发生兴趣卷入,_GET_INTO
对作出改进超过,_IMPROVE_ON
圣基茨和尼维斯,_SAINT_KITTSNEVIS
哈尔滨工业大学,_HARBIN_INSTITUTE_OF_TECHNOLOGY
产品导向型组织,_PRODUCTIONORIENTED
很容易满足的人,_CONTENTED_UNDERACHIEVERS
内蒙古工业大学,_INNER_MONGOLIA_UNIVERSITY_OF
黑龙江工程学院,_HEILONGJIANG_INSTITUTE_OF
黄斑叶蔓长春花,_AUREOVARIEGATA
统一运费定价法,_UNIFORM_DELIVERED_PRICING
垂直纵向一体化,_VERTICAL_INTEGRATION
航空运输一切险,_AIR_TRANSPORTATION_ALL_RISKS
中国地质科学院,_CHINESE_ACADEMY_OF_GEOLOGICAL
自动循环信用证,_AUTOMATIC_REVOLVING_LC
华北煤炭医学院,_NORTH_CHINA_COAL_MINING
北京化工研究院,_SINOPEC_BEIJING_RESEARCH
词汇无船承运人,_NONVESSEL_OWNING_COMMON
哈尔滨体育学院,_HARBIN_INSTITUTE_OF_PHYSICAL
实际上正实行中,_IN_EFFECT
赞成支持有利于,_IN_FAVOUR_OF
决不无论如何不,_IN_NO_CASE
军事教育训练学,_MILITARY_EDUCATION_AND
协会货物险条款,_INSTITUTE_CARGO_CLAUSESICC
总体上整个儿地,_IN_THE_MASS
妨碍在方面关于,_IN_THE_WAY_OF
徒劳白辛苦轻慢,_IN_VAIN
船方担负装卸费,_GROSS_TERMS
管理家务做家务,_KEEP_HOUSE
无愧于做到符合,_LIVE_UP_TO
国际贸易包销商,_EXCLUSIVE_DISTRIBUTOR
迟期付款信用证,_DEFERRED_PAYMENT_LETTER_OF
不是别人而正是,_NONE_OTHER_THAN
国外到期信用证,_COUNTER_TO_EXPIRE_ABROAD
职业的专业人员,_PROFESSIONAL
比如说用于举例,_SAY
财政周转金支出,_EXPENDITURE_ON_REVOLVRING_FUND
首都儿科研究所,_CAPITAL_RESEARCH_INSTITUTE_OF
协调与冲突解决,_COORDINATION_AND_CONFLICT
新加坡国立大学,_NATIONAL_UNIVERSITY_OF
环境与包装处理,_ENVIRONMENT_AND_PACKAGING
麦克马斯特大学,_MCMASTER_UNIVERSITY
莫斯科国立大学,_LOMONOSOV_MOSCOW_STATE
詹姆斯库克大学,_JAMES_COOK_UNIVERSITY
俄勒冈州立大学,_OREGON_STATE_UNIVERSITY
马德里自治大学,_AUTONOMOUS_UNIVERSITY_OF
中国古典文献学,_STUDY_OF_CHINESE_CLASSICAL
原子与分子物理,_ATOMIC_AND_MOLECULAR_PHYSICS
系统分析与集成,_SYSTEMS_ANALYSIS_AND
建筑历史与理论,_ARCHITECTURAL_HISTORY_AND
皮革化学与工程,_LEATHER_CHEMISTRY_AND
统一资源标识符,_UNIFORM_RESOURCE_IDENTIFIER
世界舞蹈理事会,_WORLD_DANCE_COUNCIL
国际组织联络局,_DEPARTMENT_OF_RELATIONS_WITH
国家粮食储备局,_STATE_GRAIN_RESERVE
中共中央办公厅,_GENERAL_OFFICE_OF_THE_CPC
中央政法委员会,_COMMISSION_OF_POLITICS_AND_LAW
中国人民解放军,_CHINESE_PEOPLES_LIBERATION
中国少年先锋队,_CHINA_YOUNG_PIONEERS
不一样的相异的,_DIVERSE
酌量性费用中心,_DISCRETIONARY_EXPENSE_CENTERS
合并现金流量表,_CONSOLIDATED_STATEMENT_OF_CASH
布宜诺斯艾利斯,_BUENOS_AIRES
一般购买力保全,_MAINTAINING_CAPITAL_IN_UNITS
格林纳达薄柱草,_GERENADENSIS
伞花虎眼万年青,_UMBELLATUM
变更控制委员会,_CHANGE_CONTROL_BOARD
在完成时的估算,_ESTIMATE_AT_COMPLETION
完成到开始关系,_FINISHTOSTART
中间带骨的腿肉,_CASSEROLEPORK
使不愉快使生气,_DISPLEASE
高丽小菜心　　,_SPROT
投降交上去听任,_GIVE_IN
从事着手做闲逛,_GO_ABOUT
还是好最好还是,_HAD_BETTER_DO_STH
匆忙立即很快地,_IN_A_HURRY
生产商的代理商,_MANUFACTURERS_AGENTS
市场吸引力因素,_MARKET_ATTRACTIVENESS_FACTORS
全国性客户管理,_NATIONAL_ACCOUNT_MANAGEMENT
购买后的不协调,_POSTPURCHASE_DISSONANCE
测试前市场研究,_PRETEST_MARKET_RESEARCH
购买力平价指数,_PURCHASING_POWER_PERITY_PPP
加拿大一枝黄花,_CANADENSIS
山东中医药大学,_SHANDONG_UNIVERSITY_OF
附带条件的合同,_TYING_CONTRACTS
计算工作量方法,_WORKLOAD_APPROACH
投保声明的回执,_ACKNOWLEDGEMENT_OF_INSURANCE
石家庄经济学院,_SHIJIAZHUANG_COLLEGE_OF
公开议付信用证,_OPEN_NEGOTIATION_LETTER_OF
弄错了的错误地,_IN_ERROR
特别尤其详细地,_IN_PARTICULAR
通风及空调工程,_HEATING_GAS_SUPPLY_VENTILATING
人逢喜事精神爽,_JOY_PUTS_HEART_INTO_A_MAN
像热锅上的蚂蚁,_LIKE_AN_ANT_ON_A_HOT
鉴于考虑到由于,_IN_VIEW_OF
船方管装不管卸,_FREE_OUT
排队使排成一行,_LINE_UP
留神朝外看照料,_LOOK_OUT
携而逃摧毁浪费,_MAKE_AWAY_WITH
在方面取得进步,_MAKE_PROGRESS_WITH
积载图又名船图,_CARGO_PLAN
行政单位暂付款,_PREPAYMENTS_OF_GOVERNMENTAL
财政周转金收入,_INCOME_FROM_REVOLVING_FUND
符拉迪沃斯托克,_VLADIVOSTOK
回收的后向渠道,_BACKWARD_CHANNELS_FOR
上海香料研究所,_SHANGHAI_SPICE_RESEARCH
天津外国语学院,_TIANJIN_FOREIGN_STUDIES
竞争和行业演变,_COMPETITION_AND_INDUSTRY
成本导向定价法,_COSTORIENTED_PRICING
佐治亚理工学院,_GEORGIA_INSTITUTE_OF
不同时间的差异,_DIFFERENTIATION_OVER_TIME
分销渠道的目标,_DISTRIBUTION_CHANNEL
评估与奖励体系,_EVALUATION_AND_REWARD_SYSTEMS
比萨圣安娜大学,_SCUOLA_SUPERIORE_SANTANNA
昆士兰科技大学,_QUEENSLAND_UNIVERSITY_OF
哥本哈根商学院,_COPENHAGEN_BUSINESS_SCHOOL
俄克拉荷马大学,_UNIVERSITY_OF_OKLAHOMA
体育教育训练学,_THEORY_OF_SPORTS_PEDAGOGY_AND
全球唯一标识符,_LOBALLY_NIQUE_DENTIFIER
材料科学与工程,_MATERIALS_SCIENCE_AND
测绘科学与技术,_SURVEYING_AND_MAPPING
农业机械化工程,_AGRICULTURAL_MECHANIZATION
环境科学与工程,_ENVIRONMENTAL_SCIENCE_AND
农业资源利用学,_UTILIZATION_SCIENCE_OF
林木遗传育种学,_FOREST_TREE_GENETICS_AND
统一资源定位器,_UNIFORM_RESOURCE_LOCATOR
农林经济管理学,_AGRICULTURAL_AND_FORESTRY
土地资源管理学,_LAND_RESOURCE_MANAGEMENT
提案审查委员会,_MOTIONS_EXAMINATION_COMMITTEE
内务司法委员会,_COMMITTEE_FOR_INTERNAL_AND
国家技术监督局,_STATE_BUREAU_OF_TECHNICAL
国家土地管理局,_STATE_BUREAU_OF_LAND
国务院事业单位,_INSTITUTIONS_UNDER_THE_STATE
中央军事委员会,_CENTRAL_MILITARY_COMMISSION_OF
银行存款日记账,_DEPOSIT_JOURNAL
工程热物理学会,_ENGINEERING_THERMOPHYSICS
中国国际法学会,_CHINESE_SOCIETY_OF
中国联合国协会,_UNITED_NATION_ASSOCIATION_OF
中国曲艺家协会,_CHINESE_BALLAD_SINGERS
精蛋白锌胰岛素,_PROTAMINE_ZINC_INSULIN
流动非流动性法,_CURRENTNONCURRENT_METHOD
个人财务报表美,_PERSONAL_FINANCIAL_STATEMENTS
销售式融资租赁,_SALESTYPE_FINANCING_LEASE
成本计算分批法,_JOB_COSTING_METHOD
约当产量比例法,_EQUIVALENT_UNITS_METHOD
拉萨罗卡德纳斯,_LAZARO_CARDENAS
厂内经济核算制,_INTERNAL_BUSINESS_ACCOUNTING
股份制企业会计,_ACCOUNTING_OF_STOCK_COMPANIES
彩色图形适配器,_CGA
开出美元的帐单,_CCOUNTRENDERED
自行车骑自行车,_BIKE
成本加固定费用,_COST_PLUS_FIXED_FEE
肋骨可煮汤食用,_PORKRIBS
使失望使受挫折,_DISAPPOINT
从今以后在今后,_FOR_THE_FUTURE
从事于酷爱追求,_GO_IN_FOR
准时制管理体系,_JUSTINTIME_JIT_MANAGEMENT
技术的复杂程度,_LEVEL_OF_TECHNICAL
以市场为导向的,_MARKET_ORIENTED
产品线定价调整,_PRODUCTLINE_PRICING
目标回报定价法,_TARGET_RETURN_PRICING
广州中医药大学,_GUANGZHOU_UNIVERSITY_OF
内蒙古师范大学,_INNER_MONGOLIA_NORMAL
替代产品的威胁,_SUBSTITUTION_THREAT
联合太平洋铁路,_UNION_PACIFIC_RAILROAD
港口拥挤附加费,_PORT_CONGESTION_SURCHARGE
天津地质研究院,_TIANJIN_GEOLOGICAL_RESEARCH
山东轻工业学院,_SHANDONG_INSTITUTE_OF_LIGHT
西安热工研究院,_XIAN_THERMAL_POWER_RESEARCH
体重和重量标志,_MEASUREMENT_AND_WEIGHT_MARK
国际竞争性招标,_INTERNATIONAL_COMPETITIVE
运输代理行提单,_HOUSE_BILL_OF_LADING
守信用遵守诺言,_KEEP_ONE_WORD
把放在一边储存,_LAY_ASIDE
人力资源管理学,_CORPORATE_MANAGEMENT_INCLUDING
放下降低使失望,_LET_DOWN
把自己关在里面,_LOCK_ONESELF_IN
接近巴结向求爱,_MAKE_UP_TO
混全混淆搞糊涂,_MIX_UP
粉红色粉红色的,_PINK
铁路由铁路运输,_RAILROAD
行政单位暂存款,_DEPOSITE_PAYABLE_OF
高等学校净资产,_COLLEGES_AND_UNIVERSITIES_NET
白花绵毛点地梅,_LEICHTLINII
对附属单位补助,_GRANT_TO_THE_AUXILIARY
后向垂直一体化,_BACKWARD_INTEGRATION
一揽子采购合同,_BLANKET_PURCHASE_ORDER
上海化工研究院,_SINOPEC_SHANGHAI_RESEARCH
竞争导向定价法,_COMPETITIONORIENTATED_PRICING
中国航空研究院,_CHINA_ASTRONAUTICS_RESEARCH
需求导向定价法,_DEMANDORIENTED_PRICING
预期零售利润率,_DESIRED_PERCENTAGE_MARKUP_ON
东安格利亚大学,_UNIVERSITY_OF_EAST_ANGLIA
庞培法布拉大学,_POMPEU_FABRA_UNIVERSITY
塔斯马尼亚大学,_UNIVERSITY_OF_TASMANIA
爱荷华州立大学,_IOWA_STATE_UNIVERSITY
数据库管理系统,_DATABASE_MANAGEMENT_SYSTEM
的里雅斯特大学,_UNIVERSITY_OF_TRIESTE
马克思主义哲学,_PHILOSOPHY_OF_MARXISM
民族传统体育学,_SCIENCE_OF_ETHNIC_TRADITIONAL
中国现当代文学,_MODERN_AND_CONTEMPORARY
材料物理与化学,_MATERIALS_PHYSICS_AND
安全技术及工程,_SAFETY_TECHNOLOGY_AND
道路与铁道工程,_HIGHWAY_AND_RAILWAY
集合与串的问题,_ET_AND_TRING_ROBLEMS
皮肤病与性病学,_DERMATOLOGY_AND_VENEREOLOGY
白花狭管香雪兰,_XANTHOSPILA
农业经济管理学,_AGRICULTURAL_ECONOMICS_AND
最高人民检察院,_SUPREME_PEOPLES_PROCURATORATE
对外贸易管理局,_FOREIGN_TRADE_ADMINISTRATION
国家外国专家局,_STATE_BUREAU_OF_FOREIGN
中国摄影家协会,_CHINESE_PHOTOGRAPHERS_SOCIETY
阿尔汉格尔斯克,_ARKHANGELSK
先调整后折算法,_REMEASUREMENTTRANSLATION
联产品成本计算,_JOINT_PRODUCTS_COSTING
调整后的净现值,_ADJUSTED_NET_PRESENT_VALUE
超文本传输协议,_HTTP
国家科学基金网,_NSFNET
成本加奖励费用,_COST_PLUS_INCENTIVE_FEE
化学的化学制品,_CHEMICAL
卷好的腰部瘦肉,_ROLLEDPORKLOIN
使眼睛注视集中,_FOCUS_ON
从某种意义上说,_IN_A_SENSE
黄花南非吊金钟,_AEQUALIS
伊利诺斯工具厂,_ILLINOIS_TOOL_WORKS
制造商出口代理,_MANUFACTURERS_EXPORT_AGENTS
原始设备制造商,_OEM_ORIGINAL_EQUIPMENT
巴布亚新几内亚,_PAPUA_NEW_GUINEA
需求的价格弹性,_PRICE_ELASTICITY_OF_DEMAND
第一类主要数据,_PRIMARY_SOURCES
南京中医药大学,_NANJING_UNIVERSITY_OF
区域设计及部署,_TERRITORY_DESIGN_AND
银行承兑信用证,_BANKER_ACCEPTANCE_LETTER_OF
船方负担装卸费,_BERTH_TERMS
中国中医科学院,_CHINA_ACADEMY_OF_CHINESE
不受约束的发盘,_OFFER_WITHOUT_ENGAGEMENT
纽约商品交易所,_NEW_YORK_COMMODITY_EXCHANGE
马来酸氯苯那敏,_CHLORPHENIRAMINE_MALEATE
上海社会科学院,_SHANGHAI_ACADEMY_OF_SOCIAL
机械科学研究院,_CHINA_ACADEMY_OF_MACHINERY
伦敦证券交易所,_LONDON_STOCK_EXCHANGE
新官上任三把火,_AT_NEW_BROOM_SWEEPS_CLEAN
检验与索赔条款,_INSPECTION_AND_CLAIM_CLAUSE
握住控制住占有,_LAY_HOLD_OF
贸易固定提成率,_FIXED_SCALE_ROGALTY
掉头看观光察看,_LOOK_ROUND
与做买卖和妥协,_MAKE_A_DEAL_WITH
讲得通言之有理,_MAKE_SENSE
下水开始新事情,_LAUNCH_OUT
桌到桌快递服务,_DESK_TO_DESK_EXPRESS_SERVICE
用的名字作名字,_NAME_AFTER
可以任意选择的,_OPTIONAL
商业性技术转让,_COMMERCIAL_TECHNOLOGY_TRANSFER
违反中间性条款,_BREACH_OF_INTERMEDIATE_TERMS
大连轻工业学院,_DALIAN_INSTITUTE_OF_LIGHT
伊拉斯姆斯大学,_ERASMUS_UNIVERSITY_ROTTERDAM
密歇根州立大学,_MICHIGAN_STATE_UNIVERSITY
扁平的组织结构,_FLAT_ORGANIZATIONAL_STRUCTURE
墨西哥角果泽米,_CERATOZAMIA_MAXICANA
免收运费定价法,_FREIGHTABSORPTION_PRICING
职能型组织结构,_FUNCTIONAL_ORGANIZATIONAL
维也纳工业大学,_VIENNA_UNIVERSITY_OF
卡拉布里亚大学,_UNIVERSITY_OF_CALABRIA
广播电视艺术学,_RADIO_AND_TELEVISION_ART
固体地球物理学,_SOLID_EARTH_PHYSICS
成员初始值列表,_MEMBER_INITIALIZATION_LIST
机械设计与理论,_MECHANICAL_DESIGN_AND_THEORY
信息与通信工程,_INFORMATION_AND_COMMUNICATION
桥梁与隧道工程,_BRIDGE_AND_TUNNEL_ENGINEERING
摄影测量与遥感,_PHOTOGRAMMETRY_AND_REMOTE
服装设计与工程,_CLOTHING_DESIGN_AND
可扩展标记语言,_ETENSIBLE_ARKUP_ANGUAGE
林业经济管理学,_FORESTRY_ECONOMICS_AND
舞蹈比赛评委​,_ADJUDICATOR
人大常委办公厅,_GENERAL_OFFICE
国家计划委员会,_STATE_PLANNING_COMMISSION
国务院直属机构,_ORGANIZATIONS_DIRECTLY_UNDER
国家环境保护局,_STATE_BUREAU_OF_ENVIRONMENTAL
中共中央委员会,_CENTRAL_COMMITTEE_OF_THE
中央统一战线部,_UNITED_FRONT_WORK_DEPARTMENT
中央绿化委员会,_CENTRAL_AFFORESTATION_GREENING
中国农工民主党,_CHINESE_PEASANTS_AND_WORKER
中国书法家协会,_CHINESE_CALLIGRAPHERS
固定资产重估价,_REVALUATIONS_OF_FIXED_ASSETS
存货销售的影响,_EFFECTS_OF_INVENTORY_ERRORS
财产信托会计美,_FIDUCIARY_ACCOUNTING
智能磁盘控制器,_IDC
到完成时的估算,_ESTIMATE_OR_ESTIMATED_TO
致命的死一般的,_DEADLY
在远处的疏远的,_DISTANT
松紧带有弹性的,_ELASTIC
贯彻把探究到底,_FOLLOW_OUT
例如比如举例说,_FOR_INSTANCE
使通过使被理解,_GET_ACROSS
从下来下车写下,_GET_DOWN
引起使发生造成,_GIVE_RISE_TO
和有关和打交道,_HAVE_STH_TO_DO_WITH
高接触服务系统,_HIGHCONTACT_SERVICE_SYSTEM
工业产品和服务,_INDUSTRIAL_GOODS_SERVICES
低接触服务系统,_LOWCONTACT_SERVICE_SYSTEM
成熟的随大流者,_MATURE_CONFORMISTS
法属波利尼西亚,_FRENCH_POLYNESIA
个人的信息来源,_PERSONAL_SOURCES
选择性感知理解,_SELECTIVE_PERCEPTION
哈尔滨商业大学,_HARBIN_UNIVERSITY_OF_COMMERCE
无存货采购计划,_STOCKLESS_PURCHASE_ARRANGEMENT
战略制定和实施,_STRATEGY_FORMULATION_AND
新进入者的威胁,_THREAT_OF_NEW_ENTRANTS
单位产品销售额,_UNIT_SALES
右江民族医学院,_YOUJIANG_TEACHERS_TRAINING
套合一致的单证,_ALIGNED_DOCUMENT_SYSTEM
齐齐哈尔医学院,_QIQIHAR_MEDICAL_UNIVERSITY
大连外国语学院,_DALIAN_INSTITUTE_OF_FOREIGN
中国舰船研究院,_CHINA_SHIP_RESEARCH_INSTITUTE
内蒙古财经学院,_INNER_MONGOLIA_COLLEGE_OF
多式联运经营人,_MULTIMODE_TRANSPORT
鞍山热能研究院,_SINOSTEEL_ANSHAN_RESEARCH
伦敦五金交易所,_LONDON_METAL_EXCHANGE
关于有关与相比,_IN_RELATION_TO
赔了夫人又折兵,_THROW_GOOD_MONEY_AFTER_BAD
国际标准化组织,_INTERNATIONAL_STANDARD
有情人终成眷属,_JACK_SHALL_HAVE_JILL_ALL_SHALL
正象正当的时候,_JUST_AS
城市规划与设计,_URBAN_PLANNING_AND_DESIGN
保持沉默不讲话,_KEEP_SILENCE
胸心血管外科学,_SURGERY_INCLUDING_GENERAL
走向向前进冲向,_MAKE_FOR
查明确信开确实,_MAKE_SURE
商业票据信用证,_COMMERCIAL_PAPER_LETTER_OF
尖声喊叫尖叫声,_SHRIEK
买方远期信用证,_BUYER_USANCE_CREDIT
结合式薪酬方案,_COMBINATION_COMPENSATION_PLAN
计算机化的订购,_COMPUTERIZED_ORDERING
顾客导向定价法,_CUSTOMERORIENTED_PRICING
慕尼黑工业大学,_TECHNICAL_UNIVERSITY_OF_MUNICH
新南威尔士大学,_UNIVERSITY_OF_NEW_SOUTH_WALES
收回投资或清算,_DIVESTMENT_OR_LIQUIDATION
危地马拉卡特兰,_SKINNERI
比勒费尔德大学,_BIELEFELD_UNIVERSITY
伦斯勒理工学院,_RENSSELAER_POLYTECHNIC
类模板部分特化,_CLASS_TEMPLATE_PARTIAL
因斯布鲁克大学,_UNIVERSITY_OF_INNSBRUCK
以色列理工学院,_TECHNION_ISRAEL_INSTITUTE_OF
格拉茨工业大学,_GRAZ_UNIVERSITY_OF_TECHNOLOGY
米兰比可卡大学,_UNIVERSITY_OF_MILANBICOCCA
中国少数民族史,_CHINESE_ETHNIC_HISTORY
函数调用操作符,_FUNCTION_CALL_OPERATOR
运筹学与控制论,_OPERATIONAL_RESEARCH_AND
加拿大荷包牡丹,_CANADENSIS
动力机械及工程,_POWER_MACHINERY_AND
通信与信息系统,_COMMUNICATION_AND_INFORMATION
矿产普查与勘探,_MINING_RESOURCE_PROSPECTING
轻工技术与工程,_THE_LIGHT_INDUSTRY_TECHNOLOGY
核能科学与工程,_NUCLEAR_ENERGY_SCIENCE_AND
作物遗传育种学,_CROP_GENETICS_AND_BREEDING
结构化查询语言,_TRUCTURED_UERY_ANGUAGE
临床检验诊断学,_CLINICAL_LABORATORY
军事组织编制学,_MILITARY_ORGANIZATIONAL_SYSTEM
管理科学与工程,_MANAGEMENT_SCIENCE_AND
中国民用航空局,_CIVIL_AVIATION_ADMINISTRATION
中国社会科学院,_CHINESE_ACADEMY_OF_SOCIAL
中央对外联络部,_INTERNATIONAL_LIAISON
中央文献研究室,_PARTY_LITERATURE_RESEARCH
先进先出去缩写,_FIRSTINFIRSTOUTFIFO
中国舞蹈家协会,_CHINESE_DANCERS_ASSOCIATION
权责发生制原则,_ACCRUAL_BASIS
澳大利亚贝壳杉,_AGATHIS_AUSTRALIS
狭叶金边龙舌兰,_ANGUSTIFOLIA_MARGINATA
大西洋的大西洋,_TLANTIC
年龄较大的长者,_ELDER
离去去世被发射,_GO_OFF
工业品分销渠道,_INDUSTRIAL_GOODS_CHANNELS
发票之外的折扣,_OFFINVOICE_DISCOUNTS
心叶非洲紫罗兰,_CORDATA
户外运动爱好者,_OUTDOOR_ENTHUSIASTS
细分与目标选择,_SEGMENTATION_AND_TARGETING
内蒙古农业大学,_INNER_MONGOLIA_AGRICULTURAL
美国谢尔曼法案,_SHERMAN_ACT_USA
